coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': 156.12, 'lat': 50.68}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 41.2, 'pressure': 1017, 'humidity': 95, 'temp_min': 41.2, 'temp_max': 41.2, 'sea_level': 1017, 'grnd_level': 979}","{'speed': 8.16, 'deg': 293}",,{'all': 85},1571760394,"{'country': 'RU', 'sunrise': 1571775000, 'sunset': 1571812177}",39600,2121385,Severo-Kurilsk,200
"{'lon': 146.19, 'lat': 68.54}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 4.15, 'pressure': 1021, 'humidity': 92, 'temp_min': 4.15, 'temp_max': 4.15, 'sea_level': 1021, 'grnd_level': 1015}","{'speed': 5.91, 'deg': 186}",,{'all': 94},1571760396,"{'country': 'RU', 'sunrise': 1571780965, 'sunset': 1571810978}",39600,2126785,Belaya Gora,200
"{'lon': 45.43, 'lat': 56.84}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 40.01, 'pressure': 1021, 'humidity': 78, 'temp_min': 40.01, 'temp_max': 40.01, 'sea_level': 1021, 'grnd_level': 1009}","{'speed': 5.93, 'deg': 282}",,{'all': 100},1571760397,"{'country': 'RU', 'sunrise': 1571715888, 'sunset': 1571751632}",10800,471607,Voskresenskoye,200
"{'lon': 35.71, 'lat': 51.06}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 55.18, 'pressure': 1024, 'humidity': 76, 'temp_min': 55.18, 'temp_max': 55.18, 'sea_level': 1024, 'grnd_level': 1002}","{'speed': 2.57, 'deg': 265}",,{'all': 100},1571760397,"{'country': 'RU', 'sunrise': 1571717474, 'sunset': 1571754712}",10800,578230,Belaya,200
"{'lon': 146.16, 'lat': -18.65}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 64.62, 'pressure': 1018, 'humidity': 91, 'temp_min': 64.62, 'temp_max': 64.62, 'sea_level': 1018, 'grnd_level': 997}","{'speed': 2.84, 'deg': 101}",{'3h': 0.31},{'all': 20},1571760398,"{'country': 'AU', 'sunrise': 1571773248, 'sunset': 1571818710}",36000,2162737,Ingham,200
"{'lon': -53.67, 'lat': 66.94}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 25.11, 'pressure': 1021, 'humidity': 55, 'temp_min': 25.11, 'temp_max': 25.11, 'sea_level': 1021, 'grnd_level': 989}","{'speed': 6.73, 'deg': 75}",,{'all': 100},1571760399,"{'country': 'GL', 'sunrise': 1571741886, 'sunset': 1571773198}",-7200,3419842,Sisimiut,200
"{'lon': -83.67, 'lat': 49.69}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 50.49, 'pressure': 994, 'humidity': 91, 'temp_min': 50.49, 'temp_max': 50.49, 'sea_level': 994, 'grnd_level': 963}","{'speed': 9.93, 'deg': 149}",{'3h': 0.25},{'all': 84},1571760331,"{'country': 'CA', 'sunrise': 1571746007, 'sunset': 1571783475}",-14400,5973108,Hearst,200
"{'lon': -170.99, 'lat': 65.58}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 31.3, 'pressure': 1011, 'humidity': 78, 'temp_min': 31.3, 'temp_max': 31.3, 'sea_level': 1011, 'grnd_level': 1007}","{'speed': 15.1, 'deg': 5}",,{'all': 100},1571760402,"{'country': 'RU', 'sunrise': 1571856312, 'sunset': 1571887863}",43200,4031637,Lavrentiya,200
"{'lon': 120.52, 'lat': 17.54}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",model,"{'temp': 72.9, 'pressure': 1011, 'humidity': 91, 'temp_min': 72.9, 'temp_max': 72.9, 'sea_level': 1011, 'grnd_level': 996}","{'speed': 3.09, 'deg': 90}",,{'all': 21},1571760402,"{'country': 'PH', 'sunrise': 1571781178, 'sunset': 1571823085}",28800,1688687,San Quintin,200
"{'lon': 50.17, 'lat': -14.27}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 74.03, 'pressure': 1013, 'humidity': 92, 'temp_min': 74.03, 'temp_max': 74.03, 'sea_level': 1013, 'grnd_level': 993}","{'speed': 1.81, 'deg': 121}",,{'all': 39},1571760403,"{'country': 'MG', 'sunrise': 1571710139, 'sunset': 1571755106}",10800,1056899,Sambava,200
"{'lon': 18.97, 'lat': -22.45}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 96.8, 'pressure': 1020, 'humidity': 7, 'temp_min': 96.8, 'temp_max': 96.8}","{'speed': 3.36, 'deg': 50}",,{'all': 67},1571760404,"{'type': 1, 'id': 2256, 'country': 'NA', 'sunrise': 1571717191, 'sunset': 1571763029}",7200,3357247,Gobabis,200
"{'lon': 29.06, 'lat': -29.29}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 62.78, 'pressure': 1008, 'humidity': 17, 'temp_min': 62.78, 'temp_max': 62.78, 'sea_level': 1008, 'grnd_level': 739}","{'speed': 34.05, 'deg': 292}",,{'all': 100},1571760404,"{'country': 'LS', 'sunrise': 1571714363, 'sunset': 1571761014}",7200,932416,Mokhotlong,200
"{'lon': 32.06, 'lat': -6.72}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",model,"{'temp': 85.46, 'pressure': 1004, 'humidity': 38, 'temp_min': 85.46, 'temp_max': 85.46, 'sea_level': 1004, 'grnd_level': 878}","{'speed': 5.21, 'deg': 172}",,{'all': 30},1571760404,"{'country': 'TZ', 'sunrise': 1571714852, 'sunset': 1571759086}",10800,159134,Inyonga,200
"{'lon': 55.67, 'lat': 29.44}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 64.06, 'pressure': 1016, 'humidity': 23, 'temp_min': 64.06, 'temp_max': 64.06, 'sea_level': 1016, 'grnd_level': 832}","{'speed': 9.01, 'deg': 356}",,{'all': 0},1571760405,"{'country': 'IR', 'sunrise': 1571710965, 'sunset': 1571751641}",12600,114259,Sirjan,200
